level,name,year,tenure,hhlds,value,change_from_prev_data_year
3_towns,Naugatuck,2000,owner,p1,1394,1263
3_towns,New Britain,2000,owner,p1,3185,1798
3_towns,New Canaan,2000,owner,p1,867,-1981
3_towns,New Fairfield,2000,owner,p1,496,-290
3_towns,New Hartford,2000,owner,p1,255,-560
3_towns,New Haven,2000,owner,p1,3603,3099
3_towns,New London,2000,owner,p1,1132,-3273
3_towns,New Milford,2000,owner,p1,1263,5
3_towns,Newington,2000,owner,p1,2264,656
3_towns,Newtown,2000,owner,p1,931,-1697
3_towns,Norfolk,2000,owner,p1,94,-1291
3_towns,North Branford,2000,owner,p1,709,590
3_towns,North Canaan,2000,owner,p1,210,-661
3_towns,North Haven,2000,owner,p1,1256,1035
3_towns,North Stonington,2000,owner,p1,240,-1140
3_towns,Norwalk,2000,owner,p1,4635,4240
3_towns,Norwich,2000,owner,p1,1881,-2897
3_towns,Old Lyme,2000,owner,p1,458,-1787
3_towns,Old Saybrook,2000,owner,p1,799,230
3_towns,Orange,2000,owner,p1,605,-306
3_towns,Oxford,2000,owner,p1,313,-258
3_towns,Plainfield,2000,owner,p1,585,11
3_towns,Plainville,2000,owner,p1,1180,490
3_towns,Plymouth,2000,owner,p1,594,-775
3_towns,Pomfret,2000,owner,p1,142,-686
3_towns,Portland,2000,owner,p1,485,199
3_towns,Preston,2000,owner,p1,258,-501
3_towns,Prospect,2000,owner,p1,373,66
3_towns,Putnam,2000,owner,p1,411,-88
3_towns,Redding,2000,owner,p1,294,-127
3_towns,Ridgefield,2000,owner,p1,1005,585
3_towns,Rocky Hill,2000,owner,p1,1262,316
3_towns,Roxbury,2000,owner,p1,137,-1526
3_towns,Salem,2000,owner,p1,149,7
3_towns,Salisbury,2000,owner,p1,368,179
3_towns,Scotland,2000,owner,p1,63,-240
3_towns,Seymour,2000,owner,p1,867,758
3_towns,Sharon,2000,owner,p1,279,-672
3_towns,Shelton,2000,owner,p1,1971,1655
3_towns,Sherman,2000,owner,p1,227,-2800
3_towns,Simsbury,2000,owner,p1,1044,717
3_towns,Somers,2000,owner,p1,336,-985
3_towns,South Windsor,2000,owner,p1,1391,1016
3_towns,Southbury,2000,owner,p1,1771,173
3_towns,Southington,2000,owner,p1,2030,102
3_towns,Sprague,2000,owner,p1,121,-2799
3_towns,Stafford,2000,owner,p1,579,354
3_towns,Stamford,2000,owner,p1,5736,5053
3_towns,Sterling,2000,owner,p1,138,-5977
3_towns,Stonington,2000,owner,p1,1192,1031
3_towns,Stratford,2000,owner,p1,3844,2289
3_towns,Suffield,2000,owner,p1,701,-2933
3_towns,Thomaston,2000,owner,p1,351,-318
3_towns,Thompson,2000,owner,p1,545,-12
3_towns,Tolland,2000,owner,p1,476,-108
3_towns,Torrington,2000,owner,p1,2269,1601
3_towns,Trumbull,2000,owner,p1,1473,-989
3_towns,Union,2000,owner,p1,42,-1610
3_towns,Vernon,2000,owner,p1,1500,1433
3_towns,Voluntown,2000,owner,p1,116,-1629
3_towns,Wallingford,2000,owner,p1,2172,2000
3_towns,Warren,2000,owner,p1,82,-3243
3_towns,Washington,2000,owner,p1,257,177
3_towns,Waterbury,2000,owner,p1,4908,4633
3_towns,Waterford,2000,owner,p1,1482,-3327
3_towns,Watertown,2000,owner,p1,1014,-739
3_towns,West Hartford,2000,owner,p1,3910,2334
3_towns,West Haven,2000,owner,p1,2689,-1226
3_towns,Westbrook,2000,owner,p1,404,-2429
3_towns,Weston,2000,owner,p1,290,-336
3_towns,Westport,2000,owner,p1,1408,986
3_towns,Wethersfield,2000,owner,p1,2047,547
3_towns,Willington,2000,owner,p1,236,-1820
3_towns,Wilton,2000,owner,p1,650,323
3_towns,Winchester,2000,owner,p1,619,43
3_towns,Windham,2000,owner,p1,941,115
3_towns,Windsor,2000,owner,p1,1621,455
3_towns,Windsor Locks,2000,owner,p1,877,-1290
3_towns,Wolcott,2000,owner,p1,665,-433
3_towns,Woodbridge,2000,owner,p1,344,-487
3_towns,Woodbury,2000,owner,p1,474,121
3_towns,Woodstock,2000,owner,p1,387,-317
3_towns,Andover,2000,renter,p1,72,0
3_towns,Ansonia,2000,renter,p1,1246,1141
3_towns,Ashford,2000,renter,p1,141,-1081
3_towns,Avon,2000,renter,p1,440,149
3_towns,Barkhamsted,2000,renter,p1,76,-484
3_towns,Beacon Falls,2000,renter,p1,187,166
3_towns,Berlin,2000,renter,p1,368,107
3_towns,Bethany,2000,renter,p1,45,-544
3_towns,Bethel,2000,renter,p1,647,573
3_towns,Bethlehem,2000,renter,p1,86,-661
3_towns,Bloomfield,2000,renter,p1,1029,957
3_towns,Bolton,2000,renter,p1,139,-1033
3_towns,Bozrah,2000,renter,p1,67,-50
3_towns,Branford,2000,renter,p1,1824,1774
3_towns,Bridgeport,2000,renter,p1,8933,7247
3_towns,Bridgewater,2000,renter,p1,29,-9279
3_towns,Bristol,2000,renter,p1,4202,4173
3_towns,Brookfield,2000,renter,p1,223,-3720
3_towns,Brooklyn,2000,renter,p1,281,-202
3_towns,Burlington,2000,renter,p1,39,-388
3_towns,Canaan,2000,renter,p1,36,-8
3_towns,Canterbury,2000,renter,p1,95,74
3_towns,Canton,2000,renter,p1,327,254
3_towns,Chaplin,2000,renter,p1,62,-373
3_towns,Cheshire,2000,renter,p1,622,594
3_towns,Chester,2000,renter,p1,197,-418
3_towns,Clinton,2000,renter,p1,411,190
3_towns,Colchester,2000,renter,p1,440,-33
3_towns,Colebrook,2000,renter,p1,26,-369
3_towns,Columbia,2000,renter,p1,55,44
3_towns,Cornwall,2000,renter,p1,55,-10
3_towns,Coventry,2000,renter,p1,227,193
3_towns,Cromwell,2000,renter,p1,608,404
3_towns,Danbury,2000,renter,p1,3699,2980
3_towns,Darien,2000,renter,p1,297,-3371
3_towns,Deep River,2000,renter,p1,192,-153
3_towns,Derby,2000,renter,p1,890,640
3_towns,Durham,2000,renter,p1,76,-839
3_towns,East Granby,2000,renter,p1,160,60
3_towns,East Haddam,2000,renter,p1,206,28
3_towns,East Hampton,2000,renter,p1,343,86
3_towns,East Hartford,2000,renter,p1,3382,3143
3_towns,East Haven,2000,renter,p1,1361,-1432
3_towns,East Lyme,2000,renter,p1,553,-1035
3_towns,East Windsor,2000,renter,p1,582,-219
3_towns,Eastford,2000,renter,p1,53,-547
3_towns,Easton,2000,renter,p1,42,-29
3_towns,Ellington,2000,renter,p1,833,812
3_towns,Enfield,2000,renter,p1,1753,285
3_towns,Essex,2000,renter,p1,325,-1296
3_towns,Fairfield,2000,renter,p1,1322,896
3_towns,Farmington,2000,renter,p1,1127,-25
3_towns,Franklin,2000,renter,p1,29,-1606
3_towns,Glastonbury,2000,renter,p1,1036,968
3_towns,Goshen,2000,renter,p1,58,-1301
3_towns,Granby,2000,renter,p1,179,160
3_towns,Greenwich,2000,renter,p1,2649,2403
3_towns,Griswold,2000,renter,p1,455,-2080
3_towns,Groton,2000,renter,p1,2575,2249
3_towns,Guilford,2000,renter,p1,606,-2450
3_towns,Haddam,2000,renter,p1,166,-300
3_towns,Hamden,2000,renter,p1,3397,3178
3_towns,Hampton,2000,renter,p1,43,-3617
3_towns,Hartford,2000,renter,p1,12160,12126
3_towns,Hartland,2000,renter,p1,20,-13518
3_towns,Harwinton,2000,renter,p1,55,24
3_towns,Hebron,2000,renter,p1,123,99
3_towns,Kent,2000,renter,p1,133,68
3_towns,Killingly,2000,renter,p1,871,779
3_towns,Killingworth,2000,renter,p1,25,-805
3_towns,Lebanon,2000,renter,p1,98,49
3_towns,Ledyard,2000,renter,p1,239,133
3_towns,Lisbon,2000,renter,p1,59,-320
3_towns,Litchfield,2000,renter,p1,392,307
3_towns,Lyme,2000,renter,p1,42,-413
3_towns,Madison,2000,renter,p1,389,344
