name,year,tenure,commute_time,commuters,tenuer.x,tenuer.y,share
Tolland County,2010,Owner,More than 120 mins,436,Owner,Owner,0.008
Tolland County,2010,Renter,Total,13672,NA,NA,NA
Tolland County,2010,Renter,Up to 15 mins,4109,Renter,Renter,0.301
Tolland County,2010,Renter,16 to 30 mins,4348,Renter,Renter,0.318
Tolland County,2010,Renter,31 to 60 mins,4311,Renter,Renter,0.315
Tolland County,2010,Renter,61 to 120 mins,857,Renter,Renter,0.063
Tolland County,2010,Renter,More than 120 mins,47,Renter,Renter,0.003
Tolland County,2018,Owner,Total,52530,NA,NA,NA
Tolland County,2018,Owner,Up to 15 mins,10018,Owner,Owner,0.191
Tolland County,2018,Owner,16 to 30 mins,18721,Owner,Owner,0.356
Tolland County,2018,Owner,31 to 60 mins,20203,Owner,Owner,0.385
Tolland County,2018,Owner,61 to 120 mins,2961,Owner,Owner,0.056
Tolland County,2018,Owner,More than 120 mins,627,Owner,Owner,0.012
Tolland County,2018,Renter,Total,16496,NA,NA,NA
Tolland County,2018,Renter,Up to 15 mins,4987,Renter,Renter,0.302
Tolland County,2018,Renter,16 to 30 mins,5777,Renter,Renter,0.35
Tolland County,2018,Renter,31 to 60 mins,5093,Renter,Renter,0.309
Tolland County,2018,Renter,61 to 120 mins,584,Renter,Renter,0.035
Tolland County,2018,Renter,More than 120 mins,55,Renter,Renter,0.003
Windham County,2000,Owner,Total,38760,NA,NA,NA
Windham County,2000,Owner,Up to 15 mins,11728,Owner,Owner,0.303
Windham County,2000,Owner,16 to 30 mins,12418,Owner,Owner,0.32
Windham County,2000,Owner,31 to 60 mins,10729,Owner,Owner,0.277
Windham County,2000,Owner,61 to 120 mins,3305,Owner,Owner,0.085
Windham County,2000,Owner,More than 120 mins,580,Owner,Owner,0.015
Windham County,2000,Renter,Total,13559,NA,NA,NA
Windham County,2000,Renter,Up to 15 mins,4787,Renter,Renter,0.353
Windham County,2000,Renter,16 to 30 mins,4132,Renter,Renter,0.305
Windham County,2000,Renter,31 to 60 mins,3631,Renter,Renter,0.268
Windham County,2000,Renter,61 to 120 mins,818,Renter,Renter,0.06
Windham County,2000,Renter,More than 120 mins,191,Renter,Renter,0.014
Windham County,2010,Owner,Total,42231,NA,NA,NA
Windham County,2010,Owner,Up to 15 mins,11947,Owner,Owner,0.283
Windham County,2010,Owner,16 to 30 mins,13937,Owner,Owner,0.33
Windham County,2010,Owner,31 to 60 mins,12600,Owner,Owner,0.298
Windham County,2010,Owner,61 to 120 mins,3291,Owner,Owner,0.078
Windham County,2010,Owner,More than 120 mins,456,Owner,Owner,0.011
Windham County,2010,Renter,Total,12356,NA,NA,NA
Windham County,2010,Renter,Up to 15 mins,4635,Renter,Renter,0.375
Windham County,2010,Renter,16 to 30 mins,4107,Renter,Renter,0.332
Windham County,2010,Renter,31 to 60 mins,2941,Renter,Renter,0.238
Windham County,2010,Renter,61 to 120 mins,654,Renter,Renter,0.053
Windham County,2010,Renter,More than 120 mins,19,Renter,Renter,0.002
Windham County,2018,Owner,Total,39933,NA,NA,NA
Windham County,2018,Owner,Up to 15 mins,10253,Owner,Owner,0.257
Windham County,2018,Owner,16 to 30 mins,12952,Owner,Owner,0.324
Windham County,2018,Owner,31 to 60 mins,13049,Owner,Owner,0.327
Windham County,2018,Owner,61 to 120 mins,3304,Owner,Owner,0.083
Windham County,2018,Owner,More than 120 mins,375,Owner,Owner,0.009
Windham County,2018,Renter,Total,12819,NA,NA,NA
Windham County,2018,Renter,Up to 15 mins,4419,Renter,Renter,0.345
Windham County,2018,Renter,16 to 30 mins,4523,Renter,Renter,0.353
Windham County,2018,Renter,31 to 60 mins,3040,Renter,Renter,0.237
Windham County,2018,Renter,61 to 120 mins,758,Renter,Renter,0.059
Windham County,2018,Renter,More than 120 mins,79,Renter,Renter,0.006
