level,name,year,tenure,hhlds,value,share
3_towns,Canaan,2018,owner,1-person,128,0.272
3_towns,Canaan,2018,owner,2-person,227,0.483
3_towns,Canaan,2018,owner,3-person,42,0.089
3_towns,Canaan,2018,owner,4-person or more,73,0.155
3_towns,Canterbury,2000,owner,total,1477,NA
3_towns,Canterbury,2000,owner,1-person,191,0.129
3_towns,Canterbury,2000,owner,2-person,517,0.35
3_towns,Canterbury,2000,owner,3-person,328,0.222
3_towns,Canterbury,2000,owner,4-person or more,441,0.299
3_towns,Canterbury,2010,owner,total,1718,NA
3_towns,Canterbury,2010,owner,1-person,317,0.185
3_towns,Canterbury,2010,owner,2-person,624,0.363
3_towns,Canterbury,2010,owner,3-person,290,0.169
3_towns,Canterbury,2010,owner,4-person or more,487,0.283
3_towns,Canterbury,2018,owner,total,1623,NA
3_towns,Canterbury,2018,owner,1-person,194,0.12
3_towns,Canterbury,2018,owner,2-person,683,0.421
3_towns,Canterbury,2018,owner,3-person,289,0.178
3_towns,Canterbury,2018,owner,4-person or more,457,0.282
3_towns,Canton,2000,owner,total,2835,NA
3_towns,Canton,2000,owner,1-person,528,0.186
3_towns,Canton,2000,owner,2-person,1065,0.376
3_towns,Canton,2000,owner,3-person,477,0.168
3_towns,Canton,2000,owner,4-person or more,765,0.27
3_towns,Canton,2010,owner,total,3268,NA
3_towns,Canton,2010,owner,1-person,600,0.184
3_towns,Canton,2010,owner,2-person,1230,0.376
3_towns,Canton,2010,owner,3-person,536,0.164
3_towns,Canton,2010,owner,4-person or more,902,0.276
3_towns,Canton,2018,owner,total,3229,NA
3_towns,Canton,2018,owner,1-person,639,0.198
3_towns,Canton,2018,owner,2-person,1270,0.393
3_towns,Canton,2018,owner,3-person,640,0.198
3_towns,Canton,2018,owner,4-person or more,680,0.211
3_towns,Chaplin,2000,owner,total,677,NA
3_towns,Chaplin,2000,owner,1-person,113,0.167
3_towns,Chaplin,2000,owner,2-person,250,0.369
3_towns,Chaplin,2000,owner,3-person,125,0.185
3_towns,Chaplin,2000,owner,4-person or more,189,0.279
3_towns,Chaplin,2010,owner,total,740,NA
3_towns,Chaplin,2010,owner,1-person,162,0.219
3_towns,Chaplin,2010,owner,2-person,247,0.334
3_towns,Chaplin,2010,owner,3-person,173,0.234
3_towns,Chaplin,2010,owner,4-person or more,158,0.214
3_towns,Chaplin,2018,owner,total,819,NA
3_towns,Chaplin,2018,owner,1-person,187,0.228
3_towns,Chaplin,2018,owner,2-person,351,0.429
3_towns,Chaplin,2018,owner,3-person,131,0.16
3_towns,Chaplin,2018,owner,4-person or more,150,0.183
3_towns,Cheshire,2000,owner,total,8097,NA
3_towns,Cheshire,2000,owner,1-person,1193,0.147
3_towns,Cheshire,2000,owner,2-person,2740,0.338
3_towns,Cheshire,2000,owner,3-person,1523,0.188
3_towns,Cheshire,2000,owner,4-person or more,2641,0.326
3_towns,Cheshire,2010,owner,total,7851,NA
3_towns,Cheshire,2010,owner,1-person,1038,0.132
3_towns,Cheshire,2010,owner,2-person,2564,0.327
3_towns,Cheshire,2010,owner,3-person,1329,0.169
3_towns,Cheshire,2010,owner,4-person or more,2920,0.372
3_towns,Cheshire,2018,owner,total,8803,NA
3_towns,Cheshire,2018,owner,1-person,1602,0.182
3_towns,Cheshire,2018,owner,2-person,3508,0.399
3_towns,Cheshire,2018,owner,3-person,1647,0.187
3_towns,Cheshire,2018,owner,4-person or more,2046,0.232
3_towns,Chester,2000,owner,total,1122,NA
