year,level,geoid,name,county,age,measure,estimate
2011,1_state,09,Connecticut,NA,total_pop,pop_change_from_prev_data_year,-15925
2011,1_state,09,Connecticut,NA,under_5_years,pop_change_from_prev_data_year,1062
2011,1_state,09,Connecticut,NA,5_to_9_years,pop_change_from_prev_data_year,1209
2011,1_state,09,Connecticut,NA,10_to_14_years,pop_change_from_prev_data_year,27
2011,1_state,09,Connecticut,NA,15_to_19_years,pop_change_from_prev_data_year,2879
2011,1_state,09,Connecticut,NA,20_to_24_years,pop_change_from_prev_data_year,-4601
2011,1_state,09,Connecticut,NA,25_to_29_years,pop_change_from_prev_data_year,-4471
2011,1_state,09,Connecticut,NA,30_to_34_years,pop_change_from_prev_data_year,-611
2011,1_state,09,Connecticut,NA,35_to_39_years,pop_change_from_prev_data_year,8263
2011,1_state,09,Connecticut,NA,40_to_44_years,pop_change_from_prev_data_year,5543
2011,1_state,09,Connecticut,NA,45_to_49_years,pop_change_from_prev_data_year,-422
2011,1_state,09,Connecticut,NA,50_to_54_years,pop_change_from_prev_data_year,-6749
2011,1_state,09,Connecticut,NA,55_to_59_years,pop_change_from_prev_data_year,-7010
2011,1_state,09,Connecticut,NA,60_to_64_years,pop_change_from_prev_data_year,-3959
2011,1_state,09,Connecticut,NA,65_to_69_years,pop_change_from_prev_data_year,-7226
2011,1_state,09,Connecticut,NA,70_to_74_years,pop_change_from_prev_data_year,281
2011,1_state,09,Connecticut,NA,75_to_79_years,pop_change_from_prev_data_year,1431
2011,1_state,09,Connecticut,NA,80_to_84_years,pop_change_from_prev_data_year,-569
2011,1_state,09,Connecticut,NA,85_years_and_over,pop_change_from_prev_data_year,-1002
2012,1_state,09,Connecticut,NA,total_pop,pop_change_from_prev_data_year,14041
2012,1_state,09,Connecticut,NA,under_5_years,pop_change_from_prev_data_year,-3137
2012,1_state,09,Connecticut,NA,5_to_9_years,pop_change_from_prev_data_year,-1974
2012,1_state,09,Connecticut,NA,10_to_14_years,pop_change_from_prev_data_year,-1337
2012,1_state,09,Connecticut,NA,15_to_19_years,pop_change_from_prev_data_year,749
2012,1_state,09,Connecticut,NA,20_to_24_years,pop_change_from_prev_data_year,2322
2012,1_state,09,Connecticut,NA,25_to_29_years,pop_change_from_prev_data_year,4275
2012,1_state,09,Connecticut,NA,30_to_34_years,pop_change_from_prev_data_year,2047
2012,1_state,09,Connecticut,NA,35_to_39_years,pop_change_from_prev_data_year,-7784
2012,1_state,09,Connecticut,NA,40_to_44_years,pop_change_from_prev_data_year,-5333
2012,1_state,09,Connecticut,NA,45_to_49_years,pop_change_from_prev_data_year,-2801
2012,1_state,09,Connecticut,NA,50_to_54_years,pop_change_from_prev_data_year,4628
2012,1_state,09,Connecticut,NA,55_to_59_years,pop_change_from_prev_data_year,5735
2012,1_state,09,Connecticut,NA,60_to_64_years,pop_change_from_prev_data_year,6303
2012,1_state,09,Connecticut,NA,65_to_69_years,pop_change_from_prev_data_year,8934
2012,1_state,09,Connecticut,NA,70_to_74_years,pop_change_from_prev_data_year,1531
