level,geoid,name,year,county,var,estimate,moe,share,sharemoe
2_counties,09003,Hartford County,2014,NA,asian,41192,519,0.046,NA
2_counties,09003,Hartford County,2014,NA,other_race,20227,1319,0.023,NA
2_counties,09003,Hartford County,2015,NA,total_pop,896943,NA,NA,NA
2_counties,09003,Hartford County,2015,NA,latino,148744,NA,0.166,NA
2_counties,09003,Hartford County,2015,NA,white,573000,417,0.639,NA
2_counties,09003,Hartford County,2015,NA,black,112624,1078,0.126,NA
2_counties,09003,Hartford County,2015,NA,asian,42360,584,0.047,NA
2_counties,09003,Hartford County,2015,NA,other_race,20215,1341,0.023,NA
2_counties,09003,Hartford County,2016,NA,total_pop,895699,NA,NA,NA
2_counties,09003,Hartford County,2016,NA,latino,151355,NA,0.169,NA
2_counties,09003,Hartford County,2016,NA,white,566548,372,0.633,NA
2_counties,09003,Hartford County,2016,NA,black,113377,974,0.127,NA
2_counties,09003,Hartford County,2016,NA,asian,43281,606,0.048,NA
2_counties,09003,Hartford County,2016,NA,other_race,21138,1236,0.024,NA
2_counties,09003,Hartford County,2017,NA,total_pop,897417,NA,NA,NA
2_counties,09003,Hartford County,2017,NA,latino,154977,NA,0.173,NA
2_counties,09003,Hartford County,2017,NA,white,560997,402,0.625,NA
2_counties,09003,Hartford County,2017,NA,black,114711,1027,0.128,NA
2_counties,09003,Hartford County,2017,NA,asian,45178,724,0.05,NA
2_counties,09003,Hartford County,2017,NA,other_race,21554,1319,0.024,NA
2_counties,09003,Hartford County,2018,NA,total_pop,894730,NA,NA,NA
2_counties,09003,Hartford County,2018,NA,latino,157785,NA,0.176,NA
2_counties,09003,Hartford County,2018,NA,white,553425,408,0.619,NA
2_counties,09003,Hartford County,2018,NA,black,114565,851,0.128,NA
2_counties,09003,Hartford County,2018,NA,asian,46327,655,0.052,NA
2_counties,09003,Hartford County,2018,NA,other_race,22628,1273,0.025,NA
2_counties,09005,Litchfield County,2000,NA,total_pop,182193,0,NA,NA
2_counties,09005,Litchfield County,2000,NA,latino,3894,0,0.021,NA
2_counties,09005,Litchfield County,2000,NA,white,172154,0,0.945,NA
2_counties,09005,Litchfield County,2000,NA,black,1837,0,0.01,NA
2_counties,09005,Litchfield County,2000,NA,asian,2107,0,0.012,NA
2_counties,09005,Litchfield County,2000,NA,other_race,2201,0,0.012,NA
2_counties,09005,Litchfield County,2001,NA,total_pop,184118,NA,NA,NA
2_counties,09005,Litchfield County,2001,NA,white,173698,NA,0.943,NA
2_counties,09005,Litchfield County,2001,NA,black,1892,NA,0.01,NA
2_counties,09005,Litchfield County,2001,NA,latino,4439,NA,0.024,NA
2_counties,09005,Litchfield County,2001,NA,asian,2325,NA,0.013,NA
2_counties,09005,Litchfield County,2001,NA,other_race,1764,NA,0.01,NA
2_counties,09005,Litchfield County,2002,NA,total_pop,185974,NA,NA,NA
2_counties,09005,Litchfield County,2002,NA,white,174816,NA,0.94,NA
2_counties,09005,Litchfield County,2002,NA,black,1956,NA,0.011,NA
2_counties,09005,Litchfield County,2002,NA,latino,4925,NA,0.026,NA
2_counties,09005,Litchfield County,2002,NA,asian,2427,NA,0.013,NA
2_counties,09005,Litchfield County,2002,NA,other_race,1850,NA,0.01,NA
2_counties,09005,Litchfield County,2003,NA,total_pop,187424,NA,NA,NA
2_counties,09005,Litchfield County,2003,NA,white,175506,NA,0.936,NA
2_counties,09005,Litchfield County,2003,NA,black,2000,NA,0.011,NA
2_counties,09005,Litchfield County,2003,NA,latino,5456,NA,0.029,NA
2_counties,09005,Litchfield County,2003,NA,asian,2528,NA,0.013,NA
2_counties,09005,Litchfield County,2003,NA,other_race,1934,NA,0.01,NA
2_counties,09005,Litchfield County,2004,NA,total_pop,188601,NA,NA,NA
2_counties,09005,Litchfield County,2004,NA,white,175901,NA,0.933,NA
2_counties,09005,Litchfield County,2004,NA,black,2052,NA,0.011,NA
2_counties,09005,Litchfield County,2004,NA,latino,6012,NA,0.032,NA
2_counties,09005,Litchfield County,2004,NA,asian,2622,NA,0.014,NA
2_counties,09005,Litchfield County,2004,NA,other_race,2014,NA,0.011,NA
2_counties,09005,Litchfield County,2005,NA,total_pop,188912,NA,NA,NA
2_counties,09005,Litchfield County,2005,NA,white,175536,NA,0.929,NA
2_counties,09005,Litchfield County,2005,NA,black,2071,NA,0.011,NA
2_counties,09005,Litchfield County,2005,NA,latino,6502,NA,0.034,NA
2_counties,09005,Litchfield County,2005,NA,asian,2717,NA,0.014,NA
2_counties,09005,Litchfield County,2005,NA,other_race,2086,NA,0.011,NA
2_counties,09005,Litchfield County,2006,NA,total_pop,189682,NA,NA,NA
2_counties,09005,Litchfield County,2006,NA,white,175370,NA,0.925,NA
2_counties,09005,Litchfield County,2006,NA,black,2198,NA,0.012,NA
2_counties,09005,Litchfield County,2006,NA,latino,7172,NA,0.038,NA
2_counties,09005,Litchfield County,2006,NA,asian,2778,NA,0.015,NA
2_counties,09005,Litchfield County,2006,NA,other_race,2164,NA,0.011,NA
2_counties,09005,Litchfield County,2007,NA,total_pop,189866,NA,NA,NA
2_counties,09005,Litchfield County,2007,NA,white,174992,NA,0.922,NA
2_counties,09005,Litchfield County,2007,NA,black,2231,NA,0.012,NA
